date,shortfall_pct,rule_action,gap_to_target_action
2015-04-15,20.90616800584874,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 80.4% and reduce blasting delay to 2.4 hrs (Forecast: 697.6t) | Option 2: Increase uptime to 81.6% and reduce blasting delay to 2.6 hrs (Forecast: 694.2t) | Option 3: Increase uptime to 81.6% and reduce blasting delay to 2.4 hrs (Forecast: 708.9t)
2015-04-22,30.04745147108968,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 80.6% and reduce blasting delay to 2.5 hrs (Forecast: 696.6t) | Option 2: Increase uptime to 81.9% and reduce blasting delay to 2.5 hrs (Forecast: 723.1t) | Option 3: Increase uptime to 80.6% and reduce blasting delay to 2.3 hrs (Forecast: 696.6t)
2015-04-26,20.565693682503245,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 94.5% and reduce blasting delay to 3.8 hrs (Forecast: 697.5t) | Option 2: Increase uptime to 93.6% and reduce blasting delay to 3.2 hrs (Forecast: 718.1t) | Option 3: Increase uptime to 94.5% and reduce blasting delay to 3.6 hrs (Forecast: 714.8t)
2015-04-27,24.038292820318507,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 82.0% and reduce blasting delay to 2.9 hrs (Forecast: 695.2t) | Option 2: Increase uptime to 82.0% and reduce blasting delay to 2.8 hrs (Forecast: 695.2t) | Option 3: Increase uptime to 79.6% and reduce blasting delay to 2.4 hrs (Forecast: 697.4t)
2015-05-11,24.8572888777298,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 78.9% and reduce blasting delay to 2.9 hrs (Forecast: 701.7t) | Option 2: Increase uptime to 75.0% and reduce blasting delay to 2.6 hrs (Forecast: 697.3t) | Option 3: Increase uptime to 76.3% and reduce blasting delay to 2.6 hrs (Forecast: 695.1t)
2015-05-20,20.56378300831072,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 80.4% and reduce blasting delay to 2.3 hrs (Forecast: 694.0t) | Option 2: Increase uptime to 82.9% and reduce blasting delay to 2.5 hrs (Forecast: 708.6t) | Option 3: Increase uptime to 79.2% and reduce blasting delay to 2.1 hrs (Forecast: 701.7t)
2015-05-29,16.437512963134978,Primary Cause: Equipment Downtime. Schedule immediate preventive maintenance.,Option 1: Increase uptime to 75.7% and reduce blasting delay to 2.0 hrs (Forecast: 695.8t) | Option 2: Increase uptime to 78.5% and reduce blasting delay to 2.2 hrs (Forecast: 700.0t) | Option 3: Increase uptime to 77.1% and reduce blasting delay to 2.0 hrs (Forecast: 695.8t)
2015-06-01,18.499172429843984,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 85.8% and reduce blasting delay to 1.8 hrs (Forecast: 702.6t) | Option 2: Increase uptime to 86.9% and reduce blasting delay to 1.8 hrs (Forecast: 723.9t) | Option 3: Increase uptime to 83.6% and reduce blasting delay to 1.4 hrs (Forecast: 693.8t)
2015-06-02,32.81724496797612,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 94.9% and reduce blasting delay to 1.4 hrs (Forecast: 696.4t) | Option 2: Increase uptime to 95.1% and reduce blasting delay to 1.4 hrs (Forecast: 696.4t) | Option 3: Increase uptime to 95.4% and reduce blasting delay to 1.4 hrs (Forecast: 694.3t)
2015-06-04,42.36428523929408,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 87.1% and reduce blasting delay to 1.5 hrs (Forecast: 703.0t) | Option 2: Increase uptime to 88.1% and reduce blasting delay to 1.5 hrs (Forecast: 701.0t) | Option 3: Increase uptime to 87.1% and reduce blasting delay to 1.3 hrs (Forecast: 708.9t)
2015-06-06,34.43633509733988,Primary Cause: Equipment Downtime. Schedule immediate preventive maintenance.,Option 1: Increase uptime to 87.1% and reduce blasting delay to 1.3 hrs (Forecast: 696.8t) | Option 2: Increase uptime to 87.1% and reduce blasting delay to 1.2 hrs (Forecast: 696.8t) | Option 3: Increase uptime to 87.1% and reduce blasting delay to 1.1 hrs (Forecast: 696.8t)
2015-06-07,21.34626188930076,Primary Cause: Weather/Monsoon. Increase pump capacity and adjust monthly target.,Option 1: Increase uptime to 94.1% and reduce blasting delay to 0.6 hrs (Forecast: 695.2t) | Option 2: Increase uptime to 94.4% and reduce blasting delay to 0.6 hrs (Forecast: 697.2t) | Option 3: Increase uptime to 94.7% and reduce blasting delay to 0.6 hrs (Forecast: 693.5t)
2015-06-08,17.176718331935582,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 88.9% and reduce blasting delay to 0.6 hrs (Forecast: 701.2t) | Option 2: Increase uptime to 88.9% and reduce blasting delay to 0.6 hrs (Forecast: 701.2t) | Option 3: Increase uptime to 88.9% and reduce blasting delay to 0.6 hrs (Forecast: 701.2t)
2015-06-09,18.5282869707564,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 99.6% and reduce blasting delay to 2.0 hrs (Forecast: 727.8t) | Option 2: Increase uptime to 99.6% and reduce blasting delay to 2.0 hrs (Forecast: 727.8t) | Option 3: Increase uptime to 99.6% and reduce blasting delay to 2.0 hrs (Forecast: 727.8t)
2015-06-10,43.64485334163109,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 93.9% and reduce blasting delay to 0.7 hrs (Forecast: 693.6t) | Option 2: Increase uptime to 94.2% and reduce blasting delay to 0.7 hrs (Forecast: 693.6t) | Option 3: Increase uptime to 94.5% and reduce blasting delay to 0.7 hrs (Forecast: 696.6t)
2015-06-11,30.169587738102948,Primary Cause: Weather/Monsoon. Increase pump capacity and adjust monthly target.,Option 1: Increase uptime to 89.2% and reduce blasting delay to 1.3 hrs (Forecast: 698.8t) | Option 2: Increase uptime to 91.6% and reduce blasting delay to 1.7 hrs (Forecast: 697.3t) | Option 3: Increase uptime to 90.4% and reduce blasting delay to 1.4 hrs (Forecast: 695.4t)
2015-06-12,24.345821830194605,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 89.6% and reduce blasting delay to 0.0 hrs (Forecast: 735.9t) | Option 2: Increase uptime to 89.6% and reduce blasting delay to 0.0 hrs (Forecast: 735.9t) | Option 3: Increase uptime to 89.6% and reduce blasting delay to 0.0 hrs (Forecast: 735.9t)
2015-06-15,28.534263270543104,Primary Cause: Blasting Delays. Review drill/blast patterns and safety clearance.,Option 1: Increase uptime to 91.9% and reduce blasting delay to 1.6 hrs (Forecast: 720.2t) | Option 2: Increase uptime to 92.3% and reduce blasting delay to 1.6 hrs (Forecast: 720.2t) | Option 3: Increase uptime to 92.7% and reduce blasting delay to 1.6 hrs (Forecast: 720.2t)
